BECKEN,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO","TOTAL","IVA 21% + RECARGO 5,2%","MARGEN ","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
